iso,country_name,year,tree_cover_ha,country_area_ha,sub-tropical_ha,tropical_ha,temperate_ha,boreal_ha
IND,India,2000,38830351.46,315279651.3,179482342,112682741,24580447,0
IRL,Ireland,2000,841570.7685,7036644.646,0,0,7023479,0
IRN,Iran,2000,1731671.419,162173902.8,177223,0,162458456,0
IRQ,Iraq,2000,17504.25586,44535864.69,33994437,0,10665039,0
ISR,Israel,2000,29485.15503,2215883.366,1346477,0,876224,0
ITA,Italy,2000,9318960.445,30075442.78,0,0,30092130,0
JAM,Jamaica,2000,768439.9916,1099979.933,226301,879676,0,0
JEY,Jersey,2000,1549.970698,12512.55196,0,0,12503,0
JOR,Jordan,2000,2271.459741,8911879.301,6833542,0,2105886,0
JPN,Japan,2000,26387254.41,37240326.66,0,365134,36941393,0
KAZ,Kazakhstan,2000,4240315.68,273053036.2,0,0,272867177,0
KEN,Kenya,2000,3319482.958,58598335.72,54219564,4772450,0,0
KGZ,Kyrgyzstan,2000,674974.2564,19864898.7,0,0,19881636,0
KHM,Cambodia,2000,8809929.849,18135960.79,11854931,6391366,0,0
KNA,Saint Kitts and Nevis,2000,13259.95375,26717.78773,1390,25470,0,0
KOR,South Korea,2000,5367962.226,10022829.79,0,0,10043074,0
LAO,Laos,2000,19129551.51,23000147.79,4201003,18922724,0,0
LBN,Lebanon,2000,65235.17381,1023803.861,0,0,1026413,0
LBR,Liberia,2000,9384713.475,9591801.583,57418,9597372,0,0
LBY,Libya,2000,6833.00933,161606184.8,155856374,0,6388077,0
LCA,Saint Lucia,2000,50731.18582,61447.62917,27127,34683,0,0
LIE,Liechtenstein,2000,9077.338,16203.80932,0,0,16196,0
LKA,Sri Lanka,2000,3939923.715,6583727.015,5029068,1597461,0,0
LSO,Lesotho,2000,6051.936642,3054531.163,3065087,0,0,0
LTU,Lithuania,2000,2336226.279,6501662.939,0,0,6486260,108
LUX,Luxembourg,2000,101326.4854,258155.7394,0,0,257871,0
LVA,Latvia,2000,3553506.465,6470996.261,0,0,6453631,0
MAC,Macao,2000,413.1857474,3412.786424,0,3429,0,0
MAF,Saint-Martin,2000,1849.577093,5616.342786,5142,506,0,0
MAR,Morocco,2000,648568.6234,41348767.35,9103203,0,32369360,0
MCO,Monaco,2000,0.391630013,235.2974845,0,0,236,0
MDA,Moldova,2000,356012.1018,3390780.839,0,0,3389082,0
MDG,Madagascar,2000,17141085.64,59144707.33,27756099,31698019,0,0
MDV,Maldives,2000,5569.753916,27912.71304,0,23712,0,0
MEX,Mexico,2000,53177141.6,195185464.5,117106556,30603,78941584,0
MKD,Macedonia,2000,781684.4168,2482514.958,0,0,2484520,0
MLI,Mali,2000,25097.99976,125119256.2,125808652,0,0,0
MLT,Malta,2000,116.7043176,32334.79078,0,0,32405,0
MMR,Myanmar,2000,42863374.09,66929667.33,3899169,61287447,2075303,0
MNE,Montenegro,2000,616440.4562,1333523.259,0,0,1334243,0
